model_name,mse,rmse,mae,r2,predictions
XGBoost,104374355375.58148,323070.2019307591,155526.14286850006,0.9461843728338095,"[1588443.    784523.3  1611294.5  1238276.   1790707.1  1437739.9
 1466410.9  1447745.9  1447745.9  1941946.9  1571938.1   782671.44
 1452136.4   666117.75  996289.06  915792.9   938237.9  2339511.8
 2012261.5  4726993.5   980146.4   794402.44  585090.25 6141657.
  919419.4  2356642.8  3941475.    744009.6  2445769.5  1107217.4
 1316778.8   807431.56 1485442.5  1516873.6  1441956.2  1004353.9
  919419.4  1656388.    649050.44 1665034.6   598418.9  1587997.9
 1585379.9  1289467.1  1424060.4  2149748.2   846658.5  2836733.2
 2311259.5   764751.8   751684.9  1005956.9  1243260.6   612402.5
 1604230.   1120685.9   932832.56 1950724.1  4747286.5  4971352.
 1080599.6  1544999.2  1111538.6  2434473.   1083463.2  4616748.5
  588233.4  1401326.   1289467.1  3601024.    535055.06  794806.2
  493909.12 1395261.8   967258.   1065081.4  1044982.9   883582.2
 1588270.9  1491515.4  1447745.9  1903626.5   817631.2   937728.56
  963884.   5251836.5   793664.44  554409.6   645967.25 1624099.
  957163.7  3996860.5   797818.75 1012091.56 2749324.   1607230.6
 6206665.   2763836.5  1136088.4  1197097.4   708897.1  2369659.8
  940548.06  549243.5  1453419.9   787299.9   951396.44 1244386.6
 1257351.2   847476.25  833543.44  457825.12 1453419.9  1500241.1
  679660.94  807431.56 1505634.2  2134904.   1126744.4  3723833.
 1227959.4  4369491.    536214.4  2595968.8   536214.4  2739840.
 1412457.1   740253.56 2771317.5  2807801.8  2534510.5  1493538.2
  778233.2   615466.75  794402.44 1688409.8   745038.6  1286542.8
 1573406.5  1793034.8  1708859.8  1047186.1  1164874.2   479385.06
 1048465.3  1672796.2   645387.7  1061034.5   956911.7  1071331.9
  933592.3  1292385.5  1133224.8   973406.2  1441326.4  4380451.5
 1817421.2   847850.94 1079131.2   433979.12 1055694.   1687668.4
 7653186.5  2078948.5  2034341.4  4914156.   1257561.2  1163405.9
 7823354.   2034341.4  1161287.8   670635.8  1618769.9  3528467.5
  745038.6   568433.6  1737288.6  1663543.9  2843171.   1244386.6
  326098.88  862422.4  1429704.6   972587.06 1231266.8  4721118.5
  850691.4  2896673.8  2148771.   2013443.8  4462190.5   555894.3
  987606.4  4064396.8  2853433.2  1566726.8  1439858.   4658123.
 1258568.5   826791.3  5433423.5  2612668.8   972696.94  602857.1
 2210539.    433979.12  989899.3  3242953.5  1742232.9  1097172.5
  757612.6  1316782.4  1282232.1  1443467.9  1297721.   1646616.6
  807431.56  589046.75  782671.44  670635.8  1155591.5   950047.9
 2258939.5  4975020.5  1368245.5  1089200.8  5281564.5  3269960.8
  768257.   1610762.9  1125639.   1558368.2   478372.9   795700.56
  708897.1  1233384.9  3599091.5  1026495.5  1688380.6  1620238.2
 1512222.4  7400931.5  2148771.    864020.2  1195747.8  2186008.
 6440508.    692690.06 3956464.5   906432.44  751684.9   753282.7
 1543889.6   536214.4  5675150.   1424060.4  1454397.9  2343712.5
 3456043.2  4294540.5   669789.2  3012167.    609211.06  992197.3
  764751.8   599964.4   641448.44 1618682.8  6418524.   1495907.2
  809549.75 1220555.8   447469.72 1826548.8   555894.3  1424060.4
 1412962.1   917731.3  1598138.4   644272.5  1654711.8  1087590.9
  478372.9   925553.7   683664.94 1428236.2  2814958.5  1268553.2
 1784914.4   906432.44 1493647.4   924468.25 1662473.8  1417496.8
  679660.94  756769.6   501752.03 1512222.4  1453538.6  1644747.8
 2413616.   1674943.1  4294562.5   573305.44  795700.56  751684.9
 1642585.2   809549.75 6228581.5  2690739.    554409.6   515704.1
 1015936.2  1224877.   1798520.8  1111682.6  1597319.2 ]"
Random Forest,138837922964.66113,372609.61201324523,166785.7768789678,0.9284148881982702,"[1627048.95031746  803323.72115873 1664499.55114286 1400615.34659019
 1849573.63174603 1426133.53071326 1425783.80497619 1700279.07157143
 1489347.22278648 1891959.01587302 1543615.68296825  796576.09693651
 1539399.53661905  648856.70666667 1028048.39750794  837536.45838095
  893827.37552381 2191312.68809524 2065138.40604762 3040085.39813492
  969798.04812554  795252.17584921  678140.8207381  6436803.65873016
  944520.55593651 2271301.42700794 3016097.60436508  793397.15301587
 2303659.02496825 1136648.93309524 1257947.77244444  825807.73396032
 1473915.78238095 1610454.57857143 1938790.21174603  985114.2527619
  951091.66351227 1766626.56040476  635124.13980159 1678213.60095238
  591044.64388889 1506809.95409524 1658038.6716129  1320819.87322222
 1399423.78589452 1967114.67380952  808183.49114286 3232286.73612698
 2313973.78365079  695618.03542857  758292.13068254 1004152.4762381
 1244668.37083333  650100.50237302 1732714.67757143 1121045.49271429
  877140.95747042 1934914.46031746 4861583.60404762 4925423.75855556
 1058573.90776191 1622372.84380952 1221681.19928571 2617378.90412698
 1097363.66536508 4590630.30336508  599394.01515873 1377139.55932323
 1249972.63009524 3971763.18071429  506632.52698413  768161.98480159
  534319.23330952 1414228.92349206  965344.84021429 1001589.8933254
  998281.50590476  831247.2068658  2037444.4747619  1838380.73336219
 1420204.59553968 2266875.19952381  762444.44150794  888439.27019048
  903230.78836508 4316983.10861905 1009590.48139683  588263.15990476
  687354.08669048 1504917.22539683  951503.11285714 3804515.13011111
  798960.68762698 1050146.99354401 2838776.02010317 1639828.77757143
 6590521.25396825 2786822.20919841 1147665.38190476 1184826.82403968
  647120.22509524 2366018.85030952  895486.71057143  537190.46266667
 1425043.26573016  748711.00904762  911905.05777778 1244604.72195238
 1748181.59139683  793047.76342857  808140.92528571  507990.74242063
 1486624.66106349 1471067.23809524  656503.01206205  800155.33535714
 1661745.26614286 2022544.09403824 1310368.94149206 3689514.61584127
 1285797.213      4671624.55746032  542487.43671429 2564252.49596825
  547795.59040476 2776427.98619841 1433189.56836508  754264.95039683
 2626219.6522381  2961867.20969048 2587765.93246032 1557448.98595238
  788980.00507143  681599.58669048  755985.06242063 1908792.78722222
  688646.73215079 1351736.87111905 2043079.80106349 1835272.01478788
 1633222.33928571  997720.1362619  1172702.4631746   489701.07918254
  990615.96413492 1670966.06666667  671395.32852381 1029555.06179365
  920891.42907937 1115493.82283333  890453.76609524 1301582.24419048
 1151875.41920635  957083.3047619  1396297.44301357 4507466.74460317
 1790738.57665079  812404.95830159 1081397.01380952  524514.71457143
 1004647.90407143 1738845.77511111 8270231.12316017 2357379.94771429
 1937979.95793651 5255249.83514286 1264095.82300794 1172371.67174603
 7444234.18268398 1939380.03369408 1167192.87809524  680582.83952381
 1799744.17171429 3570971.33519048  726491.44246032  464070.71346825
 1769604.54       1519615.4911746  2933802.47068254 1237601.52195238
  404070.25935714  821099.15957143 1378832.23924603  914674.60488889
 1236498.76952381 5165941.1038254   853415.82706349 2652637.88179365
 2135026.76301587 1942076.44965079 4349859.88119048  601119.31505411
 1179907.34874892 4467690.73138889 3299314.41326984 1528655.12291884
 1433474.8899968  4724378.3735873  1254957.43134921  778727.81542064
 5595974.07500794 2586751.13953968 1052401.16947619  680938.55269841
 1953748.25619048  524514.71457143  975431.47429365 3262833.53255556
 1690681.50253968 1049482.8462381   742209.79968254 1262079.72139683
 1305391.51204762 1514421.38396467 1375817.08669048 1900730.88694444
  800048.01137302  548998.19936508  855131.36214286  675762.019
 1332556.48666667  989077.47933333 1940401.86516234 5103457.97647619
 1391835.59761905  940709.51164286 5660781.10984127 3093121.78671429
  726070.91284921 1632906.56842857 1169962.54279654 1418695.61756133
  536741.52538095  802459.9105      617674.63484921 1246358.59725397
 3849694.52060318 1043036.37407937 1604782.46031746 1659099.99895238
 1463636.02007937 7537758.40952381 2182233.59492063  837753.8900873
 1194137.92395238 2352294.38904762 6576097.92063492  715033.17710317
 4147424.13369841  924551.60627345  743565.20987302  739045.99411111
 1537155.3915873   520795.05438095 5506689.04425397 1396729.2908254
 2346565.4084127  2462708.73087446 3519436.13268254 5078066.96692063
  665619.76995238 3174194.58496825  719182.56945238  901642.43215873
  830345.595       591898.99825397  698904.55978571 1635960.67479365
 6627946.35396825 1573055.32457143  798465.32345238 1183838.97195238
  525294.57457143 1953583.22979365  601086.11722078 1397397.16384127
 1559539.26725397  999252.5355     1653425.30761905  543811.42177411
 1631100.4218254   490590.25547619  524959.17018254  835162.74812121
  724438.4681746  1403667.69104109 2916856.22838889 1299984.12271429
 1794180.73895238  926382.96371789 1342536.89395238  952640.21938889
 1501226.47542857 1396198.9908254   687939.2241811   716519.05447619
  470988.83714286 1503587.34076191 1495862.30804096 1582092.6210101
 2387487.23779365 1631357.83126984 4689031.89150794  549110.21095238
  849698.29963925  690359.68477778 1657039.29079365  813646.031
 6287246.01587302 2684250.95560317  588263.15990476  543535.4508254
  995254.7202619  1198912.78171429 1680913.99708369 1107835.41634127
 1662413.30209524]"
KNN,194242920379.17426,440729.9857953555,226285.913617795,0.8998479603042107,"[1408111.54483202  812750.59633311 1312286.45836137 1507041.96600786
 1741909.2776319  1223363.05900164 1664182.01171599 1362167.26232464
 1380220.57598037 1773633.63229104 1199898.84481953  733509.83582193
 1223393.80535875  649000.          996192.59898159  889446.91280185
 1088061.06450076 1762568.23840092 1843175.22037674 3426451.55190803
  962460.96584409  792357.67994516  849937.16176946 5752400.6068014
 1004478.92727272 1939662.45671208 2503452.94155004  830217.71533119
 2422372.4764097  1109273.46068882 1518797.24002821  815318.10076905
 1468321.35742843 1301421.42918123 1136688.41387584 1030626.66690394
 1045533.02723943 1389272.64799149  673923.04642803 1297743.55480518
  675571.17968101 2113932.08466922 1410766.67375113 1269591.11077034
 1347665.31184277 1527026.11617019  895432.30615359 3288719.01371119
 1727570.1735138   664375.07697695  753988.0249481   885002.12378354
 1221448.08960438  796910.54437007 1303994.75249546 1205710.88555315
  864850.62834623 1545733.26562477 3994304.63794241 5140170.28170135
 1091719.52274572 1741055.215829   1660280.47198663 2160823.54157973
 1114005.99746276 3691272.97403513  614136.32677845 1576298.1741666
 1110136.12233911 3902378.58040347  610069.30535171  689156.10452609
  537230.26916649 1390500.02437096 1740393.5005404  1032819.29447431
 1066952.84674871  837705.81897056 1781658.43997089 1471898.84426215
 1396397.22129446 1815490.75768739  931184.61809083  931551.40488686
  950319.39658091 5272817.52898118  888982.00958158  653077.21452236
  874126.70452303 1520377.90459105 1185101.98731862 3571738.23450221
  910682.85396822 1026445.04895703 2573641.01532786 1623955.58425528
 4677713.38719685 2689005.79989002 1152779.59889105 1100410.0279964
  649999.         2277695.52801235  954993.15219481  570205.82290999
 1335170.67636147  922926.29616992 1018300.19321174 1134347.6019357
 1087895.32726838 1353377.11516583 1259894.31563406  546546.72469732
 1291589.19774956 1491773.75827345  579533.35778251  799000.
 1242094.19697768 1460106.8012846   781633.36031506 3616242.98714714
 1244824.73326378 3507597.46540437  559391.36093835 2708371.15696763
  553337.45248617 2841527.80159608 1257353.49172264  798859.74868375
 2268604.82162836 2689199.20751747 3227578.80221179 1307082.79661798
  749684.57276739  878832.56704819  696530.25643536 1647648.83544709
  730238.73680166  944808.78877289 1357009.3344382  1791298.62451167
 1151234.07579808  992752.6295224  1145538.52214154  619302.85310518
 1203482.9716135  1198976.07754419  622619.41647478 1134141.8377662
  917382.68436341 1048308.69472353 1105225.88844236 1291786.85983735
 1149601.65958628  966385.44165385 1503582.76087325 3221459.41239367
 1495813.22659793  821083.87716498 1088518.54026654  492146.75473587
 1122458.44126128 2024452.05686583 7117074.73525006 1747416.84877248
 1686443.92956062 5468612.34693926 1317780.55347469 1175051.00235479
 6939166.88547754 1641881.85043669 1164776.84103816  670297.81640915
 1505621.11167924 3445690.04623814  805692.56914921  481496.70225262
 2205072.64563987 1819800.14175823 2740176.17813386 1132576.04130852
  418494.8891522   720652.98408586 1343759.11509695  871835.54576012
 1146177.28312373 3869595.7352978   844146.68432482 2322819.54815254
 1895398.43673966 2016621.71368786 2677330.00663124  591432.63767339
  856233.86063937 3405859.95973715 3021052.48758034 1642228.51986289
 1437625.24193548 4999314.59862741 1200582.96061076  799203.2433316
 3990342.80453647 3047903.95459534  847907.69543103  811136.38767585
 1972066.22247751  492041.66139274 1020760.79319949 3062340.39529371
 1916496.9776641  1059981.09978565  983640.78554829 1227861.35416122
 1340505.10550874 1289377.40173744 1226429.19281001 1024923.28320789
  800002.8593191   636563.23131926  798823.9812863   653248.39763623
 1444671.02791461  921811.83334203 2017280.35629194 5462419.56226073
 1239886.69906195 1252361.04263801 5391404.5876507  3255879.81546946
  627739.87878096 1548456.14452146 1586194.2730731  2333672.2690486
  532959.844788    836482.43436283  667414.09629399 1231209.88662183
 3243445.34177807 1096443.5719644  1551862.48100172 1459752.99420289
 1675299.85563412 6801743.92484475 1985414.46656989 1046222.29898204
 1226019.08442871 1922895.76199873 3611527.83688485  797585.44266485
 3268525.2292161   955085.9909564   755356.21289351  940687.18145798
 1314459.1770067   499900.         5972618.88673841 1406747.74526932
 1358606.99581752 2238478.2027736  2981104.19415881 3589725.12847403
  668021.23587342 3148527.38866271  801803.34604233 1074910.19087296
  744056.32873868  591238.27870468  797426.97400714 1390030.26186706
 6239123.74478746 1472409.02002392  796027.2120376  1142521.31438298
  522026.74924383 1860535.48481754  594735.54493948 1444376.76175578
 1492216.2064381  1117697.92551923 1505744.88503666  692805.50591733
 1545999.79877806  549856.59892034  485823.47949632  876622.50348933
  720234.78121113 1376646.96727378 2573492.7069795  1528807.07837021
 1735577.09951868  905492.89044301 1608931.310514    949000.
 1660669.62825712 1440853.76582986  670191.9980903   746551.76475213
  399900.         1658949.05987405 1582443.68608439 1312708.27910074
 2074073.78176116 1601567.91265728 4362221.72623373  535917.61548759
  849970.72254088  701767.86293537 1355504.90524343  820628.38042355
 5909011.45379292 1896938.46321569  653077.21452236  613088.96589483
 1049608.99073509 1187631.62744205 1624851.46900632 1222558.62645639
 1587873.97351567]"
Decision Tree,197919709410.217,444881.6802366861,191880.51951319026,0.8979522004985445,"[1584050.          938500.         1615595.41666667 1317814.14285714
 1900362.5        1649450.         1348833.33333333 1807643.11111111
 1447413.5        1474450.         1474450.          809754.68333333
 1649650.          680280.76923077  998668.1025641   843700.
  897417.         2764813.33333333 2069000.         2889249.25
  947124.51428571  809754.68333333  598948.75       6129950.
  897417.         2256166.5        2928493.26666667  853116.66666667
 2379150.         1173273.50980392 1256481.72727273  809754.68333333
 1476950.         1649650.         1919000.         1022245.27272727
  897417.         1806062.5         571529.29411765 1798669.71428571
  573066.20833333 1501064.66666667 1476950.         1364954.
 1362600.69506048 1965212.5         811799.75       3391100.
 2282247.5         609900.          984900.         1267966.66666667
 1256481.72727273  766133.16666667 1806062.5        1166918.0625
  886951.78947368 1900362.5        4546225.         4776560.
 1039479.96       1649650.         1173273.50980392 2889249.25
 1099299.83333333 4776560.          573066.20833333 1372800.
 1184600.         5466000.          509633.33333333  734500.
  541759.8        1398437.5        1022245.27272727  998668.1025641
  998668.1025641   837250.         1304894.         1584050.
 1447413.5        1304894.          764812.375       886951.78947368
  886951.78947368 3529966.33333333  748144.33333333  573066.20833333
  598948.75       1501064.66666667  904618.09090909 3562071.42857143
  809754.68333333 1039479.96       2609185.875      1476944.
 6596857.14285714 3322000.         1173273.50980392 1173273.50980392
  626741.5        2256166.5         904618.09090909  571529.29411765
 1447413.5         748144.33333333  896261.66666667 1244126.6
 1652600.          764812.375       811799.75        486687.5
 1447413.5        1476950.          571529.29411765  809754.68333333
 1665187.77777778 1965212.5        1364954.         3562071.42857143
 1250629.33333333 4546225.          571529.29411765 2588700.
  571529.29411765 3322000.         1501064.66666667  853116.66666667
 2562933.33333333 2889249.25       2544000.         1649650.
  809754.68333333  598948.75        809754.68333333 1652600.
  719723.625      1364954.         1665187.77777778 1900362.5
 1460750.          998668.1025641  1173273.50980392  514528.57142857
  998668.1025641  1832500.          680280.76923077 1022245.27272727
  947124.51428571 1094974.9375      969759.8        1299096.875
 1173273.50980392  949702.5        1362600.69506048 4546225.
 1887000.          809754.68333333 1094974.9375      541759.8
  998668.1025641  1806062.5        9247500.         2422740.
 1965212.5        5340829.75       1256481.72727273 1173273.50980392
 7339283.33333333 1965212.5        1173273.50980392  680280.76923077
 1887000.         3529966.33333333  719723.625       514528.57142857
 1755966.66666667 1501064.66666667 2889249.25       1244126.6
  396779.8         737450.         1362600.69506048  949702.5
 1244126.6        4776560.          809754.68333333 2562933.33333333
 2109077.77777778 1900362.5        3981481.16666667  598948.75
 1267966.66666667 3787237.375      3391100.         1447413.5
 1362600.69506048 4561000.         1244126.6         811799.75
 4546225.         2588700.         1267966.66666667  704700.
 1900362.5         541759.8         998668.1025641  3562071.42857143
 1755966.66666667 1039479.96        748144.33333333 1239948.
 1299096.875      1476950.         1364954.         1166918.0625
  809754.68333333  509633.33333333  809754.68333333  680280.76923077
 1505780.          904618.09090909 1965212.5        5340829.75
 1474633.33333333  936950.         6425000.         3072209.77777778
  811799.75       1686951.4        1267966.66666667 1364954.
  541759.8         809754.68333333  626741.5        1256481.72727273
 3787237.375       998668.1025641  1598000.         1615595.41666667
 1452800.         7339283.33333333 2256166.5         809754.68333333
 1173273.50980392 2403712.57142857 6596857.14285714  719723.625
 3787237.375       947124.51428571  984900.          748144.33333333
 1474450.          571529.29411765 5340829.75       1362600.69506048
 1807643.11111111 2403712.57142857 3589385.71428571 7047000.
  680280.76923077 3391100.          598948.75        886951.78947368
  938500.          573066.20833333  598948.75       1584050.
 6596857.14285714 1584050.          809754.68333333 1173273.50980392
  541759.8        1903389.125       598948.75       1362600.69506048
 1804300.          896261.66666667 1598000.          559296.
 1665187.77777778  559296.          541759.8         837250.
  680280.76923077 1362600.69506048 2889249.25       1299096.875
 1798669.71428571  947124.51428571 1652600.          947124.51428571
 1649450.         1362600.69506048  766133.16666667  719723.625
  430950.         1501064.66666667 1447413.5        1474000.
 2943500.         1584050.         4546225.          573066.20833333
  809754.68333333  680280.76923077 1584050.          809754.68333333
 6129950.         2928493.26666667  573066.20833333  555925.
 1022245.27272727 1173273.50980392 1686951.4        1094974.9375
 1476944.        ]"
Neural Network,4728675996239.153,2174551.907000418,1670683.6867492741,-1.4381148366148935,"[ 596.97534    133.30702    594.65076    445.13       698.93243
  439.07996    489.03406    458.85782    512.3234     696.6642
  516.49426    128.12202    498.3212      95.65328    202.93875
  150.48982    173.56053    835.76764    765.0985    1543.2073
  211.13876    140.68552    108.564674  3030.7065     214.92468
  920.2172    1125.5197     127.18295    961.0698     292.30682
  431.76044    151.07451    496.00952    499.86032    418.67337
  163.36787    207.59862    633.91315    113.07854    597.2715
   87.05976    541.49304    682.28284    412.40796    470.6089
  963.3565     176.51328   1238.8341     827.68567    147.92155
  131.24474    279.8512     409.04315    115.74241    612.81287
  365.1223     183.84398    723.5385    2587.9155    2582.7827
  318.3152     539.12476    531.8187    1114.3751     348.09644
 2138.0732      76.36465    460.48105    407.8576    1793.5792
   43.986588   119.92039     40.18903    528.0039     150.71773
  231.07462    215.51411    203.39494    580.0325     571.0989
  484.89517    615.0233     102.7443     179.76561    138.25668
 1900.2649     166.76613     93.07769    116.34749    521.3009
  185.16869   1814.6842     158.8899     258.63034   1312.0104
  595.6958    3262.7954    1351.5166     373.35754    395.68253
  111.904564  1053.911      248.07483     43.9357     476.06323
  146.49121    297.36984    408.8506     542.37177    169.92723
  174.72688      5.1649213  473.16772    509.33365     69.84588
  143.44054    510.77997    731.28265    278.466     1562.2739
  416.59195   1715.4381      48.794205  1137.9652      74.047226
 1293.5641     458.0798     139.82497   1112.2374    1303.2963
 1107.8883     504.29944    136.11905    117.50385    120.99721
  452.5093     128.51033    499.57687    552.28186    651.6146
  667.54315    289.68823    356.7699      56.77435    337.05356
  532.0011      86.3503     325.77792    204.0796     322.3863
  212.24626    428.2036     350.11856    198.87492    494.04968
 1736.1205     656.22974    185.10323    330.68552      9.814989
  271.69727    701.75916   4455.4976     807.9385     713.99066
 2866.8872     400.0813     384.33618   4039.8428     699.1615
  350.64697    101.99404    586.0912    1645.9579     116.27693
   75.33273    655.7611     509.3734    1334.7731     587.62317
    6.6334224  161.72285    452.55493    222.68895    359.55972
 2580.9717     156.88924   1177.6887     827.4794     774.3462
 1698.4982      86.74559    251.39671   1964.7815    1278.5402
  549.8733     478.60712   2031.8202     431.33905    179.76268
 2894.8428    1260.5491     254.86319     96.40925    862.77026
   11.734026   294.2284    1373.9459     572.2375     380.15143
  140.25867    437.70212    435.85834    449.5954     432.9572
  304.95224    143.63112    107.51572    136.42354     93.98159
  384.75082    165.35196    811.3028    2851.2007     452.88898
  503.58673   2938.627     1473.9728     120.335045   634.57135
  416.6412     598.263       41.388435   148.39558    129.38264
  391.70312   1732.012      353.15198    556.5867     589.88
  529.03107   3588.5688     864.41986    198.96669    390.91708
  844.4955    3641.1406     125.33657   1787.343      190.7882
  129.26901    134.8742     481.78323     58.58599   2999.2612
  472.9969     446.27567    939.90234   1693.7678    1587.039
  102.08506   1358.0873     120.303085   226.8344     124.45401
   62.660667   123.9053     575.28296   3227.6313     507.98712
  147.76657    333.97974     33.63315    732.2611      85.519325
  472.1173     512.6249     330.25275    544.3037      94.2804
  549.8369     107.443245    48.16729    207.64772    120.554756
  468.53635   1361.7784     440.00134    648.3832     191.98108
  739.4265     164.15102    693.8987     504.2234     114.41222
  128.60999     52.290737   529.8197     515.0372     562.8366
  935.71387    598.73047   1874.6251      73.750626   160.31717
  126.75469    583.11694    154.25912   2927.352     1079.8676
   93.07769     87.71254    239.73157    391.68433    668.0009
  336.44168    624.2346   ]"
